,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
IPR007219,57,142,70,"Transcription factor domain, fungi"
IPR015590,24,27,23,Aldehyde dehydrogenase domain
IPR016161,26,30,25,Aldehyde/histidinol dehydrogenase
IPR016162,24,28,23,"Aldehyde dehydrogenase, N-terminal"
IPR016163,22,25,22,"Aldehyde dehydrogenase, C-terminal"
IPR000383,1,16,5,Xaa-Pro dipeptidyl-peptidase-like domain
IPR005674,1,15,3,CocE/Serine esterase
IPR008979,13,34,22,Galactose-binding-like domain superfamily
IPR013736,1,13,4,"Xaa-Pro dipeptidyl-peptidase, C-terminal"
IPR011701,117,253,198,Major facilitator superfamily
IPR000938,3,5,4,CAP Gly-rich domain
IPR022157,1,1,1,Dynein associated protein
IPR036859,3,5,4,CAP Gly-rich domain superfamily
IPR003439,36,43,36,"ABC transporter-like, ATP-binding domain"
IPR011527,18,18,18,"ABC transporter type 1, transmembrane domain"
IPR036640,17,19,18,"ABC transporter type 1, transmembrane domain superfamily"
IPR010730,52,110,32,Heterokaryon incompatibility
IPR013087,51,68,50,Zinc finger C2H2-type
IPR013861,1,1,1,TMEM115/Pdh1/Rbl19
IPR035952,7,8,8,Rhomboid-like superfamily
IPR006594,8,5,8,LIS1 homology motif
IPR045183,1,1,1,F-box-like/WD repeat-containing protein Ebi-like
IPR004843,16,16,20,"Calcineurin-like phosphoesterase domain, ApaH type"
IPR029052,26,27,32,Metallo-dependent phosphatase-like
IPR001452,20,20,22,SH3 domain
IPR026791,1,0,1,Dedicator of cytokinesis
IPR027007,1,0,1,C2 DOCK-type domain
IPR027357,1,0,1,DOCKER domain
IPR032376,1,0,1,"Dedicator of cytokinesis, N-terminal domain"
IPR035892,17,18,18,C2 domain superfamily
IPR036028,21,24,24,SH3-like domain superfamily
IPR042455,1,0,1,"Dedicator of cytokinesis, N-terminal, subdomain 1"
IPR043161,1,0,1,"Dedicator of cytokinesis, C-terminal, lobe A"
IPR029032,5,10,8,AhpD-like
IPR002088,2,2,2,"Protein prenyltransferase, alpha subunit"
IPR032955,1,1,1,Geranylgeranyl transferase type-2 subunit alpha
IPR033010,2,3,3,The WD repeat Cdc20/Fizzy family
IPR018108,34,37,38,Mitochondrial substrate/solute carrier
IPR023395,35,38,40,Mitochondrial carrier domain superfamily
IPR002319,2,2,2,Phenylalanyl-tRNA synthetase
IPR004530,1,1,1,"Phenylalanyl-tRNA synthetase, class IIc, mitochondrial"
IPR005121,1,1,1,Ferrodoxin-fold anticodon-binding domain
IPR006195,15,18,16,"Aminoacyl-tRNA synthetase, class II"
IPR036690,1,1,1,Ferrodoxin-fold anticodon-binding domain superfamily
IPR045864,22,26,22,Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)
IPR001047,1,1,1,Ribosomal protein S8e
IPR022309,2,2,2,Ribosomal protein S8e/ribosomal biogenesis NSA2
IPR042563,1,1,0,"Ribosomal protein S8e subdomain, eukaryotes"
IPR003594,17,34,30,Histidine kinase/HSP90-like ATPase
IPR004358,13,27,23,"Signal transduction histidine kinase-related protein, C-terminal"
IPR005467,14,28,26,Histidine kinase domain
IPR018955,3,3,3,"Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal"
IPR036784,3,3,3,"Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily"
IPR036890,23,42,36,Histidine kinase/HSP90-like ATPase superfamily
IPR039028,3,3,3,PDK/BCKDK protein kinase
IPR028143,1,0,1,GET complex subunit Get2/sif1
IPR012875,1,1,0,Succinate dehydrogenase assembly factor 4
IPR008824,1,1,0,RuvB-like P-loop domain
IPR010339,2,1,2,"TIP49, P-loop domain"
IPR027238,2,1,2,RuvB-like
IPR037938,1,0,1,RuvB-like helicase 1
IPR041048,2,1,2,"RuvB-like, AAA-lid domain"
IPR001487,6,7,7,Bromodomain
IPR018359,5,3,4,"Bromodomain, conserved site"
IPR027353,1,2,1,NET domain
IPR036427,8,7,7,Bromodomain-like superfamily
IPR038336,2,2,1,NET domain superfamily
IPR001898,1,1,1,Solute carrier family 13
IPR004331,8,8,8,SPX domain
IPR026777,1,1,1,Plasma membrane fusion protein PRM1
IPR000547,5,4,5,"Clathrin, heavy chain/VPS, 7-fold repeat"
IPR001180,4,4,4,Citron homology (CNH) domain
IPR019452,1,1,1,Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
IPR019453,2,2,2,Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 2
IPR032914,2,2,2,Vam6/VPS39/TRAP1 family
IPR013745,1,1,1,TORC2 component Bit61/PRR5
IPR001377,1,0,1,Ribosomal protein S6e
IPR014401,1,0,1,"Ribosomal protein S6, eukaryotic"
IPR018282,1,0,1,"Ribosomal protein S6/S6e/A/B/2, conserved site"
IPR001841,54,44,46,"Zinc finger, RING-type"
IPR013083,92,90,82,"Zinc finger, RING/FYVE/PHD-type"
IPR017946,12,15,13,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily"
IPR030395,4,4,5,Glycerophosphodiester phosphodiesterase domain
IPR000836,10,8,9,Phosphoribosyltransferase domain
IPR000842,2,0,2,"Phosphoribosyl pyrophosphate synthetase, conserved site"
IPR005946,3,3,4,Ribose-phosphate pyrophosphokinase
IPR029057,10,8,10,Phosphoribosyltransferase-like
IPR029099,2,3,3,"Ribose-phosphate pyrophosphokinase, N-terminal domain"
IPR010721,4,3,4,Protein of unknown function DUF1295
IPR017853,87,80,109,Glycoside hydrolase superfamily
IPR018620,5,2,4,"Ubiquitin 3 binding protein But2, C-terminal"
IPR005829,55,82,62,"Sugar transporter, conserved site"
IPR017871,32,37,30,"ABC transporter-like, conserved site"
IPR026082,1,1,1,ABC transporter A
IPR000782,4,4,3,FAS1 domain
IPR036378,4,5,3,FAS1 domain superfamily
IPR002328,23,26,18,"Alcohol dehydrogenase, zinc-type, conserved site"
IPR018607,1,0,1,Chromosome transmission fidelity protein 8
IPR009081,13,17,11,Phosphopantetheine binding ACP domain
IPR010071,3,2,2,Amino acid adenylation domain
IPR010080,1,1,2,Thioester reductase-like domain
IPR013120,5,5,7,"Fatty acyl-coenzyme A reductase, NAD-binding domain"
IPR014397,1,0,1,L-2-aminoadipate reductase
IPR036736,11,18,11,ACP-like superfamily
IPR011431,1,1,0,Protein trafficking Pga2
IPR009072,26,23,22,Histone-fold
IPR029003,1,0,0,CENP-S/Mhf1
IPR000999,6,6,7,Ribonuclease III domain
IPR036389,6,7,7,"Ribonuclease III, endonuclease domain superfamily"
IPR005301,3,3,3,MOB kinase activator family
IPR036703,3,3,3,MOB kinase activator superfamily
IPR004888,2,2,2,Glycoside hydrolase family 63
IPR008928,24,31,30,Six-hairpin glycosidase superfamily
IPR012341,24,29,27,Six-hairpin glycosidase-like superfamily
IPR031335,2,2,1,"Glycosyl hydrolase family 63, C-terminal"
IPR003764,2,1,1,N-acetylglucosamine-6-phosphate deacetylase
IPR011059,8,12,13,"Metal-dependent hydrolase, composite domain superfamily"
IPR000008,11,12,13,C2 domain
IPR031468,7,7,7,Synaptotagmin-like mitochondrial-lipid-binding domain
IPR037765,2,3,1,"Tricalbin, C2B domain"
IPR037767,2,2,1,"Mug190-like, C2A domain"
IPR000195,12,9,11,Rab-GTPase-TBC domain
IPR035969,12,9,11,Rab-GTPase-TBC domain superfamily
IPR013940,2,1,1,Meiosis specific protein Spo22/ZIP4/TEX11
IPR039057,2,1,1,Sporulation-specific protein 22
IPR025212,1,1,0,Centromere protein Q
IPR001353,16,12,14,"Proteasome, subunit alpha/beta"
IPR023332,7,6,7,Proteasome alpha-type subunit
IPR029055,26,23,25,"Nucleophile aminohydrolases, N-terminal"
IPR034644,2,1,1,Proteasome subunit alpha2
IPR000426,6,5,7,"Proteasome alpha-subunit, N-terminal domain"
IPR035396,3,7,5,"Alpha-L-rhamnosidase, six-hairpin glycosidase domain"
IPR013126,11,10,12,Heat shock protein 70 family
IPR043129,39,47,38,"ATPase, nucleotide binding domain"
IPR001075,1,1,1,"NIF system FeS cluster assembly, NifU, C-terminal"
IPR014824,1,1,1,"Scaffold protein Nfu/NifU, N-terminal"
IPR034904,2,2,2,Fe-S cluster assembly domain superfamily
IPR036498,1,1,1,"Scaffold protein Nfu/NifU, N-terminal domain superfamily"
IPR024630,1,1,1,Stc1 domain
IPR000651,4,4,4,"Ras-like guanine nucleotide exchange factor, N-terminal"
IPR001895,4,4,4,Ras guanine-nucleotide exchange factors catalytic domain
IPR008937,4,4,4,Ras-like guanine nucleotide exchange factor
IPR023578,4,4,5,Ras guanine nucleotide exchange factor domain superfamily
IPR036964,4,4,4,"Ras guanine-nucleotide exchange factor, catalytic domain superfamily"
IPR021858,21,46,27,Fungal transcription factor
IPR001094,4,6,4,Flavodoxin-like
IPR001433,13,19,15,Oxidoreductase FAD/NAD(P)-binding
IPR001709,9,12,11,Flavoprotein pyridine nucleotide cytochrome reductase
IPR003097,7,10,6,"Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding"
IPR008254,8,10,7,Flavodoxin/nitric oxide synthase
IPR017938,24,28,24,Riboflavin synthase-like beta-barrel
IPR023173,8,10,6,"NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily"
IPR029039,8,16,9,Flavoprotein-like superfamily
IPR039261,29,34,28,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"
IPR005256,1,1,0,"Anthranilate synthase component I, PabB-like"
IPR005801,2,2,2,ADC synthase
IPR006805,1,2,2,"Anthranilate synthase component I, N-terminal"
IPR015890,2,2,2,"Chorismate-utilising enzyme, C-terminal"
IPR019999,2,2,2,Anthranilate synthase component I-like
IPR003495,3,4,4,"CobW/HypB/UreG, nucleotide-binding domain"
IPR004400,1,1,1,Urease accessory protein UreG
IPR011935,1,0,1,Conserved hypothetical protein CHP02231
IPR025554,1,0,1,Domain of unknown function DUF4140
IPR037291,1,0,1,Domain of unknown function DUF4139
IPR007533,1,1,1,Cytochrome c oxidase assembly protein CtaG/Cox11
IPR023471,1,1,1,"Cytochrome c oxidase assembly protein CtaG/Cox11, domain superfamily"
IPR001440,4,4,3,Tetratricopeptide repeat 1
IPR011990,103,112,96,Tetratricopeptide-like helical domain superfamily
IPR019734,33,44,37,Tetratricopeptide repeat
IPR000757,14,16,15,Glycoside hydrolase family 16
IPR005629,1,1,2,Beta-glucan synthesis-associated protein Skn1/Kre6/Sbg1
IPR013320,26,33,34,Concanavalin A-like lectin/glucanase domain superfamily
IPR006035,4,2,5,Ureohydrolase
IPR020855,3,2,4,"Ureohydrolase, manganese-binding site"
IPR023696,10,7,9,Ureohydrolase domain superfamily
IPR002528,3,5,3,Multi antimicrobial extrusion protein
IPR045069,2,3,3,"Multidrug and toxic compound extrusion family, eukaryotic"
IPR002347,131,210,125,Short-chain dehydrogenase/reductase SDR
IPR020904,54,94,54,"Short-chain dehydrogenase/reductase, conserved site"
IPR002327,1,0,1,"Cytochrome c, class IA/ IB"
IPR009056,1,1,2,Cytochrome c-like domain
IPR036909,2,1,2,Cytochrome c-like domain superfamily
IPR000569,6,6,6,HECT domain
IPR010309,1,1,1,"E3 ubiquitin ligase, domain of unknown function DUF908"
IPR010314,1,1,1,"E3 ubiquitin ligase, domain of unknown function DUF913"
IPR015940,12,8,8,Ubiquitin-associated domain
IPR025527,2,2,2,"HUWE1/Rev1, ubiquitin binding region"
IPR035983,6,6,6,"HECT, E3 ligase catalytic domain"
IPR009395,1,0,0,Biogenesis of lysosome-related organelles complex 1 subunit 1
IPR002300,5,4,4,"Aminoacyl-tRNA synthetase, class Ia"
IPR004493,1,1,2,"Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic"
IPR009008,5,4,4,"Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain"
IPR009080,9,7,8,"Aminoacyl-tRNA synthetase, class Ia, anticodon-binding"
IPR013155,5,3,4,"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"
IPR014729,44,39,41,Rossmann-like alpha/beta/alpha sandwich fold
IPR014848,1,1,1,Reduced growth phenotype protein 1
IPR002908,1,1,1,Frataxin/CyaY
IPR017789,1,1,1,Frataxin
IPR020895,1,1,1,Frataxin conserved site
IPR036524,1,1,1,Frataxin/CyaY superfamily
IPR007872,2,2,2,DPH-type metal-binding  domain
IPR036671,2,2,2,DPH-type metal-binding domain superfamily
IPR018170,11,11,10,"Aldo/keto reductase, conserved site"
IPR020471,15,18,17,Aldo-keto reductase
IPR023210,29,37,32,NADP-dependent oxidoreductase domain
IPR036812,29,37,32,NADP-dependent oxidoreductase domain superfamily
IPR007828,1,1,1,Inositol oxygenase
IPR045306,6,6,4,Sorbitol dehydrogenase-like
IPR000683,16,15,12,"Gfo/Idh/MocA-like oxidoreductase, N-terminal"
IPR004104,8,8,6,"Gfo/Idh/MocA-like oxidoreductase, C-terminal"
IPR010487,1,1,1,Neugrin/Rrg9
IPR018713,2,4,2,"ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase, catalytic domain"
IPR037473,1,1,1,Rubber oxygenase Lcp-like
IPR003903,8,8,10,Ubiquitin interacting motif
IPR017210,1,0,0,Actin patch protein 1
IPR019236,4,1,3,"Phosphatidate phosphatase APP1, catalytic domain"
IPR006076,17,24,20,FAD dependent oxidoreductase
IPR017941,7,8,4,Rieske [2Fe-2S] iron-sulphur domain
IPR036922,8,8,4,Rieske [2Fe-2S] iron-sulphur domain superfamily
IPR038010,1,1,0,"YhfW, C-terminal Rieske domain"
IPR029063,109,128,106,S-adenosyl-L-methionine-dependent methyltransferase superfamily
IPR016689,1,1,1,"ESCRT-2 complex, Snf8"
IPR036390,59,75,52,Winged helix DNA-binding domain superfamily
IPR040608,2,2,2,Snf8/Vps36 family
IPR005998,1,1,1,"Ribosomal protein L7, eukaryotic"
IPR012988,1,1,1,"Ribosomal protein L30, N-terminal"
IPR018038,1,1,1,"Ribosomal protein L30, conserved site"
IPR035808,1,1,1,"Ribosomal protein L7, eukaryotic/archaeal"
IPR039699,1,1,1,Ribosomal protein L7/L30
IPR000961,10,9,11,"AGC-kinase, C-terminal"
IPR017892,3,3,3,"Protein kinase, C-terminal"
IPR013933,2,2,2,"Chromatin-remodelling complex, RSC SWI/SNF subunit Rsc7/Swp82"
IPR000832,1,1,0,"GPCR, family 2, secretin-like"
IPR013922,7,7,7,Cyclin PHO80-like
IPR002539,4,5,3,MaoC-like dehydratase domain
IPR029069,17,29,13,HotDog domain superfamily
