,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
PF00258,7,9,5,Flavodoxin
PF00667,5,9,6,FAD binding domain
PF00425,2,2,1,chorismate binding enzyme
PF04715,1,2,2,"Anthranilate synthase component I, N terminal region"
PF02492,4,5,4,"CobW/HypB/UreG, nucleotide-binding domain"
PF13598,1,0,1,Domain of unknown function (DUF4139)
PF13600,1,0,1,N-terminal domain of unknown function (DUF4140)
PF04442,1,1,1,Cytochrome c oxidase assembly protein CtaG/Cox11
PF00515,6,5,5,Tetratricopeptide repeat
PF07719,8,8,8,Tetratricopeptide repeat
PF12895,3,3,4,"Anaphase-promoting complex, cyclosome, subunit 3"
PF13174,2,3,3,Tetratricopeptide repeat
PF13181,20,19,20,Tetratricopeptide repeat
PF13414,6,6,5,TPR repeat
PF13431,1,0,1,Tetratricopeptide repeat
PF13432,10,13,13,Tetratricopeptide repeat
PF03935,1,1,2,Beta-glucan synthesis-associated protein SKN1/KRE6/Sbg1
PF11951,10,17,11,Fungal specific transcription factor domain
PF00491,3,2,5,Arginase family
PF01554,3,5,3,MatE
PF00106,117,209,122,short chain dehydrogenase
PF08659,79,141,86,KR domain
PF13561,106,196,115,Enoyl-(Acyl carrier protein) reductase
PF00034,1,0,1,Cytochrome c
PF13442,1,0,1,"Cytochrome C oxidase, cbb3-type, subunit III"
PF00632,6,6,6,HECT-domain (ubiquitin-transferase)
PF06012,1,1,1,Domain of Unknown Function (DUF908)
PF06025,1,1,1,Domain of Unknown Function (DUF913)
PF14377,2,2,2,Ubiquitin binding region
PF06320,1,0,0,GCN5-like protein 1 (GCN5L1)
PF00133,5,3,3,"tRNA synthetases class I (I, L, M and V)"
PF08264,5,3,4,Anticodon-binding domain of tRNA ligase
PF01491,1,1,1,Frataxin-like domain
PF00248,26,37,30,Aldo/keto reductase family
PF05153,1,1,1,Myo-inositol oxygenase
PF01408,16,15,12,"Oxidoreductase family, NAD-binding Rossmann fold"
PF02894,8,8,6,"Oxidoreductase family, C-terminal alpha/beta domain"
PF09995,2,3,2,"ER-bound oxygenase mpaB/B'/Rubber oxygenase, catalytic domain"
PF09949,4,1,3,"Phosphatidate phosphatase APP1, catalytic domain"
PF00355,7,8,3,Rieske [2Fe-2S] domain
PF01266,19,24,22,FAD dependent oxidoreductase
PF13450,32,67,31,NAD(P)-binding Rossmann-like domain
PF08241,39,52,38,Methyltransferase domain
PF13489,31,48,30,Methyltransferase domain
PF04157,2,2,2,EAP30/Vps36 family
PF08079,1,1,1,Ribosomal L30 N-terminal domain
PF00433,3,3,3,Protein kinase C terminal domain
PF14531,2,1,2,Kinase-like
PF08624,2,2,2,Chromatin remodelling complex Rsc7/Swp82 subunit
PF00002,3,1,0,7 transmembrane receptor (Secretin family)
PF01575,4,5,3,MaoC like domain
PF07950,1,1,1,"MDM10-complementing protein 1, transmembrane domain"
PF12171,5,6,4,Zinc-finger double-stranded RNA-binding
PF00753,7,21,5,Metallo-beta-lactamase superfamily
PF00173,19,23,21,Cytochrome b5-like Heme/Steroid binding domain
PF01070,5,13,9,FMN-dependent dehydrogenase
PF00370,3,3,4,"FGGY family of carbohydrate kinases, N-terminal domain"
PF02782,4,3,3,"FGGY family of carbohydrate kinases, C-terminal domain"
PF00025,25,24,29,ADP-ribosylation factor family
PF00071,30,28,29,Ras family
PF08477,28,24,27,"Ras of Complex, Roc, domain of DAPkinase"
PF17123,5,7,5,RING-like zinc finger
PF04666,1,0,0,N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
PF07724,6,7,6,AAA domain (Cdc48 subfamily)
PF07728,20,17,16,AAA domain (dynein-related subfamily)
PF16450,5,5,5,Proteasomal ATPase OB C-terminal domain
PF17862,16,9,12,AAA+ lid domain
PF01699,7,8,7,Sodium/calcium exchanger protein
PF03733,1,1,1,Inner membrane component domain
PF04054,1,1,1,"CCR4-Not complex component, Not1"
PF12842,1,1,1,"CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819"
PF16415,1,1,1,CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16417,1,1,1,CCR4-NOT transcription complex subunit 1 TTP binding domain
PF16418,1,1,1,CCR4-NOT transcription complex subunit 1 HEAT repeat
PF00018,16,19,21,SH3 domain
PF00611,4,3,4,"Fes/CIP4, and EFC/F-BAR homology domain"
PF07653,13,15,19,Variant SH3 domain
PF14604,12,13,15,Variant SH3 domain
PF08719,2,2,2,NADAR domain
PF01237,4,7,6,Oxysterol-binding protein
PF11917,7,2,0,Protein of unknown function (DUF3435)
PF00408,2,2,3,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF02878,2,1,2,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PF02879,2,1,2,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PF02880,2,1,3,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PF00136,4,3,3,DNA polymerase family B
PF03104,4,2,4,"DNA polymerase family B, exonuclease domain"
PF08996,1,1,1,DNA Polymerase alpha zinc finger
PF12254,1,1,1,DNA polymerase alpha subunit p180 N terminal
PF00929,5,8,5,Exonuclease
PF13434,2,5,3,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase
PF00664,16,16,14,ABC transporter transmembrane region
PF00668,2,3,1,Condensation domain
PF04080,1,1,1,Per1-like family
PF02204,3,3,3,Vacuolar sorting protein 9 (VPS9) domain
PF02636,2,2,1,Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02779,6,7,5,"Transketolase, pyrimidine binding domain"
PF02780,3,5,4,"Transketolase, C-terminal domain"
PF04097,1,1,1,Nup93/Nic96
PF04199,4,5,3,Putative cyclase
PF01194,1,0,1,RNA polymerases N / 8 kDa subunit
PF00170,6,15,11,bZIP transcription factor
PF12706,5,6,3,Beta-lactamase superfamily domain
PF13483,3,4,3,Beta-lactamase superfamily domain
PF20463,1,1,0,"Prephenate dehydrogenase, dimerization domain"
PF00411,2,2,2,Ribosomal protein S11
PF05282,1,1,1,AAR2 protein
PF00328,3,8,8,Histidine phosphatase superfamily (branch 2)
PF18086,1,1,1,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
PF04192,1,1,1,Utp21 specific WD40 associated putative domain
PF12894,9,16,9,Anaphase-promoting complex subunit 4 WD40 domain
PF00415,5,3,4,Regulator of chromosome condensation (RCC1) repeat
PF13540,4,3,5,Regulator of chromosome condensation (RCC1) repeat
PF06398,2,1,1,Integral peroxisomal membrane peroxin
PF03656,1,0,1,Pam16
PF10601,1,0,0,LITAF-like zinc ribbon domain
PF01679,3,3,4,Proteolipid membrane potential modulator
PF09072,1,1,1,Translation machinery associated TMA7
PF14479,9,7,2,Prion-inhibition and propagation
PF00235,1,0,1,Profilin
PF02845,3,4,5,CUE domain
PF00134,8,8,9,"Cyclin, N-terminal domain"
PF20150,5,0,3,2EXR family
PF09329,1,1,0,Primase zinc finger
PF03133,1,1,1,Tubulin-tyrosine ligase family
PF09468,1,1,1,Ydr279p protein family (RNase H2 complex component) wHTH domain
PF17745,1,1,1,Ydr279p protein triple barrel domain
PF00288,5,5,5,GHMP kinases N terminal domain
PF08544,2,3,4,GHMP kinases C terminal
PF10509,1,2,1,Galactokinase galactose-binding signature
PF01965,7,7,4,DJ-1/PfpI family
PF00413,1,2,0,Matrixin
PF01471,1,2,0,Putative peptidoglycan binding domain
PF10501,1,1,1,Ribosomal subunit 39S
PF11905,4,10,8,Domain of unknown function (DUF3425)
PF00903,7,14,5,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00022,8,7,9,Actin
PF01926,32,48,36,50S ribosome-binding GTPase
PF09439,4,4,8,Signal recognition particle receptor beta subunit
PF11915,6,21,2,Protein of unknown function (DUF3433)
PF01265,2,1,1,Cytochrome c/c1 heme lyase
PF04641,1,1,1,Rtf2 RING-finger
PF12906,2,3,1,RING-variant domain
PF01521,2,2,1,Iron-sulphur cluster biosynthesis
PF00266,5,8,5,Aminotransferase class-V
PF13945,1,1,1,Salt tolerance down-regulator
PF05742,1,1,1,Transport and Golgi organisation 2
PF03134,2,2,2,"TB2/DP1, HVA22 family"
PF06420,1,1,1,Mitochondrial genome maintenance MGM101
PF02214,1,1,0,BTB/POZ domain
PF00651,24,23,17,BTB/POZ domain
PF00027,4,3,3,Cyclic nucleotide-binding domain
PF01734,7,7,9,Patatin-like phospholipase
PF01979,6,9,13,Amidohydrolase family
PF02668,3,11,11,"Taurine catabolism dioxygenase TauD, TfdA family"
PF06155,1,1,0,"Gamma-butyrobetaine hydroxylase-like, N-terminal"
PF12813,1,1,1,XPG domain containing
PF00781,2,1,2,Diacylglycerol kinase catalytic domain
PF03099,1,2,1,Biotin/lipoate A/B protein ligase family
PF09825,1,1,1,"Biotin-protein ligase, N terminal"
PF01794,10,9,8,Ferric reductase like transmembrane component
PF08022,9,9,6,FAD-binding domain
PF01212,2,1,5,Beta-eliminating lyase
PF02347,1,0,1,Glycine cleavage system P-protein
PF01399,14,12,15,PCI domain
PF05470,1,0,1,Eukaryotic translation initiation factor 3 subunit 8 N-terminus
PF01168,1,1,2,"Alanine racemase, N-terminal domain"
PF01602,6,5,8,Adaptin N terminal region
PF02296,1,0,0,"Alpha adaptin AP2, C-terminal domain"
PF02883,3,0,3,Adaptin C-terminal domain
PF07574,1,1,1,Nse1 non-SMC component of SMC5-6 complex
PF00102,2,0,2,Protein-tyrosine phosphatase
PF04299,1,1,1,Putative FMN-binding domain
PF01053,5,3,5,Cys/Met metabolism PLP-dependent enzyme
PF03152,2,2,2,Ubiquitin fusion degradation protein UFD1
PF09791,1,1,1,"Oxidoreductase-like protein, N-terminal"
PF08285,1,1,0,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
PF00732,10,13,13,GMC oxidoreductase
PF05199,12,13,15,GMC oxidoreductase
PF00171,18,23,19,Aldehyde dehydrogenase family
PF03006,2,2,2,Haemolysin-III related
PF04427,5,5,4,Brix domain
PF00270,42,56,59,DEAD/DEAH box helicase
PF14559,7,3,5,Tetratricopeptide repeat
PF00205,6,14,6,"Thiamine pyrophosphate enzyme, central domain"
PF02775,6,14,6,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
PF02776,6,13,6,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
PF11489,1,1,1,Altered inheritance of mitochondria protein 21
PF10233,1,1,1,Uncharacterized conserved protein CG6151-P
PF00549,4,6,4,CoA-ligase
PF08442,2,2,2,ATP-grasp domain
PF11595,1,0,1,Protein of unknown function (DUF3245)
PF00108,5,9,6,"Thiolase, N-terminal domain"
PF02803,6,9,6,"Thiolase, C-terminal domain"
PF00645,1,1,1,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF01485,7,6,6,"IBR domain, a half RING-finger domain"
PF02714,5,6,5,"Calcium-dependent channel, 7TM region, putative phosphate"
PF13967,5,5,5,"Late exocytosis, associated with Golgi transport"
PF14703,4,4,5,Cytosolic domain of 10TM putative phosphate transporter
PF11927,3,1,3,Protein of unknown function (DUF3445)
PF00582,2,2,2,Universal stress protein family
PF00226,30,25,22,DnaJ domain
PF16717,1,1,1,Ribosome-associated complex head domain
PF01465,1,1,1,GRIP domain
PF11705,1,0,1,DNA-directed RNA polymerase III subunit Rpc31
PF01545,9,8,8,Cation efflux family
PF15159,1,1,1,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y
PF12430,1,1,1,Abscisic acid G-protein coupled receptor
PF12537,1,1,1,The Golgi pH Regulator (GPHR) Family N-terminal
PF01805,2,2,2,Surp module
PF13242,7,8,8,HAD-hyrolase-like
PF01154,1,0,1,Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF08540,1,0,1,Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF00454,6,6,8,Phosphatidylinositol 3- and 4-kinase
PF02259,3,3,3,FAT domain
PF02260,2,4,2,FATC domain
PF08064,1,1,1,UME (NUC010) domain
PF14138,1,1,1,Cytochrome c oxidase assembly protein COX16
PF00383,5,7,3,Cytidine and deoxycytidylate deaminase zinc-binding region
PF14437,1,4,1,MafB19-like deaminase
PF10156,1,1,1,Subunit 17 of Mediator complex
PF06437,1,1,1,IMP-specific 5'-nucleotidase
PF00365,1,1,1,Phosphofructokinase
PF13300,1,1,1,Domain of unknown function (DUF4078)
PF00742,1,1,1,Homoserine dehydrogenase
PF03447,2,2,2,"Homoserine dehydrogenase, NAD binding domain"
PF04108,2,2,2,Autophagy protein ATG17-like domain
PF10377,1,1,0,Autophagy-related protein 11
PF05837,1,0,0,Centromere protein H (CENP-H)
PF00505,7,9,7,HMG (high mobility group) box
PF09011,4,6,6,HMG-box domain
PF00717,1,3,1,Peptidase S24-like
PF04851,37,46,35,"Type III restriction enzyme, res subunit"
PF03595,3,9,6,Voltage-dependent anion channel
PF01294,1,1,1,Ribosomal protein L13e
PF16815,1,1,2,Protein HRI1
PF00352,1,1,1,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF01209,7,6,6,ubiE/COQ5 methyltransferase family
PF08242,15,28,15,Methyltransferase domain
PF13649,34,49,37,Methyltransferase domain
PF13847,20,33,24,Methyltransferase domain
PF09994,8,11,3,Uncharacterized alpha/beta hydrolase domain (DUF2235)
PF04695,2,2,2,Pex14 N-terminal domain
PF03801,1,1,1,HEC/Ndc80p family
PF06775,1,1,1,Putative adipose-regulatory protein (Seipin)
PF02225,6,7,6,PA domain
PF04253,2,3,3,Transferrin receptor-like dimerisation domain
PF04389,11,10,7,Peptidase family M28
PF00795,7,8,11,Carbon-nitrogen hydrolase
PF00443,15,15,15,Ubiquitin carboxyl-terminal hydrolase
PF13423,12,10,9,Ubiquitin carboxyl-terminal hydrolase
PF01281,1,0,1,"Ribosomal protein L9, N-terminal domain"
PF05187,1,1,1,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S"
PF00564,3,2,3,PB1 domain
PF00403,7,8,4,Heavy-metal-associated domain
PF01014,1,1,1,Uricase
PF02185,2,2,2,Hr1 repeat
PF14663,1,1,1,Rapamycin-insensitive companion of mTOR RasGEF_N domain
PF14664,1,1,1,"Rapamycin-insensitive companion of mTOR, N-term"
PF14666,1,1,1,"Rapamycin-insensitive companion of mTOR, middle domain"
PF14668,1,1,1,"Rapamycin-insensitive companion of mTOR, domain 5"
PF02190,3,2,3,ATP-dependent protease La (LON) substrate-binding domain
PF13920,12,13,11,"Zinc finger, C3HC4 type (RING finger)"
PF00535,9,9,4,Glycosyl transferase family 2
PF13506,5,4,3,Glycosyl transferase family 21
PF13641,12,11,8,Glycosyltransferase like family 2
PF00174,4,4,5,Oxidoreductase molybdopterin binding domain
PF03404,3,4,4,Mo-co oxidoreductase dimerisation domain
PF00775,3,3,5,Dioxygenase
PF04444,3,3,4,Catechol dioxygenase N terminus
PF01220,1,2,1,Dehydroquinase class II
PF08501,4,5,2,Shikimate dehydrogenase substrate binding domain
PF01261,3,5,4,Xylose isomerase-like TIM barrel
PF13577,3,9,6,SnoaL-like domain
PF01202,3,4,2,Shikimate kinase
PF01487,3,3,3,Type I 3-dehydroquinase
PF18317,2,2,2,Shikimate 5'-dehydrogenase C-terminal domain
PF01179,5,3,5,"Copper amine oxidase, enzyme domain"
PF02727,4,2,3,"Copper amine oxidase, N2 domain"
PF09248,2,0,2,Domain of unknown function (DUF1965)
PF00135,8,17,26,Carboxylesterase family
PF20434,9,22,19,BD-FAE
PF00924,2,6,3,Mechanosensitive ion channel
PF10454,1,1,1,Protein of unknown function (DUF2458)
PF14880,1,1,1,Cytochrome oxidase c assembly
PF03985,1,0,1,Paf1
PF10255,1,0,1,RNA polymerase I-associated factor PAF67
PF08740,1,2,3,BCS1 N terminal
PF03169,2,1,5,OPT oligopeptide transporter protein
PF04547,1,1,1,Calcium-activated chloride channel
PF01169,1,1,1,Uncharacterized protein family UPF0016
PF00141,5,2,6,Peroxidase
PF03630,1,1,1,Fumble
PF00109,6,8,3,"Beta-ketoacyl synthase, N-terminal domain"
PF00698,7,6,2,Acyl transferase domain
PF00975,3,1,1,Thioesterase domain
PF02801,8,9,3,"Beta-ketoacyl synthase, C-terminal domain"
PF14765,5,6,1,Polyketide synthase dehydratase
PF16073,4,3,3,Starter unit:ACP transacylase in aflatoxin biosynthesis
PF07110,4,2,3,EthD domain
PF08498,1,2,1,Sterol methyltransferase C-terminal
PF05347,3,5,4,Complex 1 protein (LYR family)
PF10058,1,1,1,Predicted integral membrane zinc-ribbon metal-binding protein
PF04116,5,6,6,Fatty acid hydroxylase
PF13855,5,6,4,Leucine rich repeat
PF08771,1,1,1,FKBP12-rapamycin binding domain
PF11865,1,1,1,Domain of unknown function (DUF3385)
PF03810,9,7,9,Importin-beta N-terminal domain
PF08148,2,2,2,DSHCT (NUC185) domain
PF13234,2,2,2,rRNA-processing arch domain
PF17911,1,1,1,Ski2 N-terminal region
PF07962,1,1,1,Replication Fork Protection Component Swi3
PF02854,3,3,4,MIF4G domain
PF12152,1,1,1,Eukaryotic translation initiation factor 4G1
PF00378,6,21,7,Enoyl-CoA hydratase/isomerase
PF16113,5,17,5,Enoyl-CoA hydratase/isomerase
PF03248,1,1,1,Rer1 family
PF13086,7,9,6,AAA domain
PF13087,9,13,10,AAA domain
PF16399,1,1,1,Intron-binding protein aquarius N-terminus
PF00933,12,12,13,Glycosyl hydrolase family 3 N terminal domain
PF01915,15,11,13,Glycosyl hydrolase family 3 C-terminal domain
PF14310,14,9,12,Fibronectin type III-like domain
PF18307,1,1,1,Transcription factor Tfb2 (p52) C-terminal domain
PF04821,1,1,1,Timeless protein
PF00725,3,4,4,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF02737,3,2,4,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
PF00459,2,4,3,Inositol monophosphatase family
PF00179,18,25,19,Ubiquitin-conjugating enzyme
PF00382,2,2,2,Transcription factor TFIIB repeat
PF03635,1,1,1,Vacuolar protein sorting-associated protein 35
PF10281,1,1,2,Putative nuclear envelope organisation protein
PF03828,2,2,2,Cid1 family poly A polymerase
PF04063,1,1,1,Domain of unknown function (DUF383)
PF04064,1,1,1,Domain of unknown function (DUF384)
PF01103,1,1,1,Omp85 superfamily domain
PF11160,6,1,2,Hypervirulence associated proteins TUDOR domain
PF00534,4,6,9,Glycosyl transferases group 1
PF13439,3,2,2,Glycosyltransferase Family 4
PF13579,3,2,1,Glycosyl transferase 4-like domain
PF13692,6,5,8,Glycosyl transferases group 1
PF00070,11,19,11,Pyridine nucleotide-disulphide oxidoreductase
PF07992,20,47,25,Pyridine nucleotide-disulphide oxidoreductase
PF00023,47,84,29,Ankyrin repeat
PF12796,52,89,26,Ankyrin repeats (3 copies)
PF13606,32,46,18,Ankyrin repeat
PF13637,45,81,28,Ankyrin repeats (many copies)
PF13857,33,26,13,Ankyrin repeats (many copies)
PF12013,9,8,3,Orsellinic acid/F9775 biosynthesis cluster protein D
PF01073,9,15,16,3-beta hydroxysteroid dehydrogenase/isomerase family
PF09729,3,2,2,Gti1/Pac2 family
PF12717,5,6,5,non-SMC mitotic condensation complex subunit 1
PF12922,1,1,1,"non-SMC mitotic condensation complex subunit 1, N-term"
PF02637,1,1,1,GatB domain
PF02934,1,1,1,GatB/GatE catalytic domain
PF14304,1,1,1,Transcription termination and cleavage factor C-terminal
PF14327,1,1,1,Hinge domain of cleavage stimulation factor subunit 2
PF07521,2,3,2,Zn-dependent metallo-hydrolase RNA specificity domain
PF10996,2,3,2,Beta-Casp domain
PF13299,1,1,1,Cleavage and polyadenylation factor 2 C-terminal
PF16661,2,2,1,Metallo-beta-lactamase superfamily domain
